insert into places(address_line_one, address_line_two, notes) VALUES ('442 Wrinkleproof Meadow', 'Boulevard, Mt, 41120', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('83 Predivorce Track', 'Bryson, Ok, 71560', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2124 Duraplasty Canyn', 'Lafox, Ap, 49351', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1653 Paxillate Rpd', 'Fagus, Ri, 84685', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2449 Snup Ramp', 'Chazy, Co, 95719', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2245 Waypost Key', 'New kensington, Ks, 59806', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2683 Redirection Trl', 'Kiahsville, , 85816', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1499 Grandaunt Annx', 'Farber, Dc, 44661', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('169 Tolerably Haven', 'Allentown, Me, 13912', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('727 Minimise Mountain', 'Big clifty, Ar, 68573', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('426 Unheaded Plains', 'Paradise valley, Al, 71941', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2208 Poke-easy Harb', 'Mountain pine, Al, 78350', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('494 Fetial Run', 'Lauderdale, Ut, 56606', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('33 Apposer Is', 'Glouster, Sc, 33383', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('219 Shoshonean-nahuatlan Jcts', 'Walhalla, Ok, 92765', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('368 Hypermnesic Villiage', 'Etowah, Oh, 17080', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('881 Velds Extension', 'Sagola, Ct, 90371', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2399 Aerobium Squ', 'Mukilteo, Tx, 51036', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2340 Undervitalized Trce', 'Maple city, Mh, 24169', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1693 Pretenseless Lf', 'Electric city, Md, 48387', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1012 Heptitol Crse', 'Millville, Vt, 86189', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1861 Rcvs Hls', 'Jud, Mo, 76877', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1038 Typos Track', 'Elko, Ks, 18734', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('82 Stomous Trk', 'New orleans, Id, 33461', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2001 Occult Annx', 'Rbc, Vt, 56754', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1766 Gargety Ext', 'Honor, Ne, 94303', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('249 Prn Rivr', 'Hustontown, Nd, 63819', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2880 Rooftrees Ports', 'Lake creek, Wi, 28150', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1206 A-axis Ville', 'Sagle, Hi, 84146', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1569 Chondroglossus Crossing ', 'Premium, Ak, 11391', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1012 Dandriffy Island', 'Prospect park, Pa, 66808', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2985 Thimble-sized Valley', 'Lizton, Pa, 66100', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1416 Inhibiting Kys', 'Smithtown, Or, 13335', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2203 Pewterwort Frk', 'Beatty, Nj, 60359', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('665 Reparagraph Mnt', 'Dolgeville, Pw, 63788', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1477 Unbefriend Tunl', 'Astoria, Ri, 49266', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1835 Nets Court', 'Divernon, Mh, 97608', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1601 Shakyamuni Fords', 'Las vegas, Wv, 23491', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('487 Set-hands Crossing ', 'Hosford, Sc, 82623', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1317 Sonder Lock', 'Cactus, Ae, 93770', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2287 Dicenzo Cent', 'Seymour, Id, 33158', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2434 Inswathement Medows', 'Nashua, Fl, 43701', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('238 Mailbag Stn', 'Riverdale, In, 39523', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2160 Imprests Trailer', 'Gibsonton, Al, 41552', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1366 Leucichthys Stra', 'South dennis, , 25236', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('873 Ineri Tunls', 'Roy, Me, 51796', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2404 Pisanite Gardens', 'Hogansburg, Pr, 31535', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1006 Loretin Wy', 'Bessemer city, Nv, 57095', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('726 Bawdstrot Vws', 'Tazewell, Wa, 52428', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('567 Protopathy Trk', 'Huntington woods, Ms, 38538', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1102 Antitheses Ln', 'White lake, Ms, 17713', '');
