insert into places(address_line_one, address_line_two, notes) VALUES ('655 Messengership Locks', 'Wanchese, Al, 66005', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1748 Bay-window Flats', 'Whiskeytown, Dc, 39637', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1050 Sleep-soothing Grove', 'Saylorsburg, Vi, 27663', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2091 Interleaving Pr', 'Hannaford, Or, 39891', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('683 Sprawled Track', 'Berlin heights, Ri, 26760', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1104 Reembodiment Annx', 'Springboro, Mh, 64845', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2829 Co-originality Well', 'Sellersburg, Vi, 45648', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('489 Bluefins Lodg', 'Oktaha, Ok, 94185', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1801 Ultraparallel Creek', 'Tunnelton, Co, 51977', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1084 Misraises Hls', 'Wall, Mt, 17760', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2597 Orchidotherapy Overpass', 'Talpa, Dc, 26990', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('743 Gomez Flats', 'Hatillo, Co, 10273', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2500 Brioni Orchard', 'Dothan, Az, 37796', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('465 Malta Av', 'Coplay, Ne, 95745', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1973 Self-soothing Expressway', 'Azalea, Wa, 50111', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('641 Soother Roads', 'Blairsville, Gu, 99814', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('772 Misdealer Jct', 'Enderlin, Ak, 14820', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2350 Monoplanist Trks', 'Meeteetse, Nd, 63878', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2724 Clawing Express', 'Riegelwood, Nm, 16357', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1790 Chaoua Strvn', 'Cranston, Id, 40707', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1815 Amberoid Circ', 'Blakely, Id, 84046', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2061 Crellen Highwy', 'Winkelman, Wa, 56253', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2820 Unsombrely River', 'Aspinwall, Nh, 28723', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('95 Schizolite Ferry', 'Park hill, Pr, 34647', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('834 Centrally Pine', 'Adkins, Ma, 36686', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2698 Gooseflesh Rdg', 'Mowrystown, Sd, 64693', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('249 Phagocytosis Cliff', 'Manley, Ne, 68345', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1407 Suss Tunel', 'Eliot, Ar, 43235', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1744 Agnostically Aly', 'Abbott, Ae, 96554', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1824 Lehet Jct', 'Newton falls, , 35527', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2541 Snowlike Mntn', 'Rose, Mh, 68729', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('901 Bronchoaspergillosis Traces', 'Mayo, Nh, 42032', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2049 Craigmont Bypas', 'Circleville, Nm, 11937', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2971 Hominy Grdn', 'Wells tannery, Sc, 14332', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2547 Hamsun Fort', 'Carmine, De, 18560', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2961 Actinopteran Fwy', 'North bay, Ca, 39744', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1660 Dragontail Strav', 'Whitefield, Ct, 49384', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1640 Baits Parkways', 'Merryville, Dc, 22278', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2855 Presentiveness Ally', 'Round pond, Ap, 44554', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2852 Yesima Hollows', 'Venetie, Mh, 52826', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('10 Aspern Lks', 'Bird island, La, 52688', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1911 Frescoes Beach', 'Fredericksburg, Nc, 19747', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('253 Snide Pnes', 'Pinesdale, Nc, 11529', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1035 Hardwired Islnds', 'Clarkia, Ca, 39254', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1017 Fylgja Villages', 'Miramar beach, Ky, 15142', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('856 Superaccumulation Bypas', 'Willow spring, Md, 78830', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1280 Exegetist Stn', 'Callao, Pr, 90842', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('163 Undersense Bnd', 'Bryson city, Ut, 44533', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1936 Pseudocumyl Meadows', 'Ellerbe, Ae, 24949', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1096 Guar. Causwa', 'Quay, Mo, 24450', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2766 Procursive Ranch', 'Letcher, Hi, 42553', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1176 Heartbrokenness Brook', 'Thornville, In, 24381', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('934 Capretto Track', 'Rock hill, Nc, 92251', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('536 Deedfully Expr', 'Bogata, Ms, 53181', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2618 Toothflower Path', 'Veteran, La, 48500', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('162 Anthozoa Road', 'Stratham, Ma, 90065', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('862 Adenocarcinomata Sqr', 'Valles mines, Mh, 37288', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2274 Atabek Est', 'Cibolo, Pa, 29186', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1905 Biped Trlr', 'Presto, , 67547', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2455 Dpt Isle', 'Big prairie, Ny, 99539', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2015 Girth Prr', 'Avery island, Tn, 31772', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2166 Unshrewdness Flt', 'Caputa, Fl, 39571', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1392 Albuna Mountain', 'Ely, Ga, 69789', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1603 Cyclotosaurus Spgs', 'Bayamon, Tx, 34249', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('441 Outgoer Missn', 'Brainardsville, Ks, 29321', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1409 Carcerate Vdct', 'Peabody, Hi, 24010', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1227 Garnering Squares', 'Coralville, Gu, 94114', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('357 Vanille Aven', 'Mavisdale, Md, 62667', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('870 Ham-handed Islnds', 'North bend, Al, 22084', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1430 Barn-brack Cove', 'Capshaw, Fm, 50841', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2246 Harberd Clfs', 'Loon lake, Vt, 74271', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1213 Card Forges', 'Gunnison, As, 36442', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1379 Abuses Junctions', 'Leigh, Or, 22369', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1570 Oyelet Throughway', 'Killingworth, Oh, 10569', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2302 Uterocele Villag', 'Crumpler, Ar, 48579', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2588 Queaziest Parkway', 'Taylor springs, Fm, 61528', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2258 Poietic Grden', 'Dalton, Sd, 96587', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1484 Amoibite Forests', 'Nankin, Tx, 74007', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2737 Smoke-stained Overpass', 'Thompsons station, Al, 13612', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2146 Pyrologist Manors', 'Floyds knobs, Ut, 79397', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('34 Robbyn Estates', 'Benld, Vt, 42119', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2240 Surfeitedness Underpass', 'Brasstown, Ks, 84336', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('674 Lowballs Crsnt', 'Hemlock, Ak, 13602', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1004 Noneager Lcks', 'Rocky gap, Ia, 74453', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2251 Puss-moth Pass', 'Teachey, Mp, 15124', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('921 Ibby Meadows', 'Zeeland, Al, 45729', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('893 Journeyed Sprng', 'Bowdoin, Mo, 64907', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('179 Preregulate Pl', 'Eagle creek, Tn, 35582', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1622 Paddling Bluffs ', 'Conda, Me, 36482', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1053 Sauerkraut Crossroads', 'Cottonwood, Mo, 97792', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('722 Ever-craving Beach', 'Corn, Tn, 27417', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('736 Asphyxiate Pkwy', 'Fort apache, Mo, 91458', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('420 Tridominium Villg', 'Eleele, Oh, 83018', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('79 Physicooptics Vws', 'Farwell, Co, 59776', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('499 Predelinquent Cpe', 'Ruffs dale, Mt, 88390', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2807 Pishaug Bottom', 'Troxelville, Ut, 63351', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('908 Picoline Jction', 'Gerton, Fm, 56277', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2644 Variations Ext', 'Amelia court house, Ky, 50645', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1756 Peritonealgia Course', 'Jansen, Va, 71102', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('823 Nougatine Rapids', 'Allston, Ut, 64406', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('812 Eugenia Mountains', 'Olds, Tx, 60484', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('90 Kischen Byp', 'Higdon, Mp, 47111', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2584 Eighths Frk', 'Slate hill, Md, 15072', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1032 Grandpappy Coves', 'South hero, Sd, 74442', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2426 Bronchitis Bluf', 'Panther burn, Md, 31767', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2137 Nonoptimistically Centr', 'Phillips, Ae, 63796', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('726 Scrappage Lks', 'Voorhees, Wv, 96295', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('374 Neo-realism Estate', 'Tarkio, Sc, 35292', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1075 Fidepromissor Trls', 'Dow, Wy, 10141', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1409 Squamosphenoid Sta', 'Beckwourth, Ia, 90884', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1573 Pahlavi Trls', 'Chewelah, Ri, 47036', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1710 Prepolitical Plza', 'Casnovia, Md, 35852', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('722 Fluigram Vlgs', 'Siluria, Id, 97613', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2603 Implete Pines', 'Rock hill, , 50616', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2643 Sorrows Orchrd', 'Muleshoe, Ri, 40225', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2439 Hawky Byp', 'Saint george island, Nh, 11201', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('326 Bights Juncton', 'Bluemont, Ny, 75667', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2071 Avalanche Ext', 'De witt, Ca, 57992', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2910 Noncuriosity Bnd', 'Glens fork, , 86610', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2238 Coparcenar Spur', 'Greeley, Ny, 54131', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('1141 Pseudogeneric Flt', 'Cashton, Or, 61939', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2746 Exequies Villag', 'Mount holly springs, Id, 55612', '');
insert into places(address_line_one, address_line_two, notes) VALUES ('2514 Friesic Allee', 'Ross, Vt, 58802', '');
